sim_nr,wall_setup,bollard_type,particles,time_s,total_exited
71,wallie1,void,3000,15,83
71,wallie1,void,3000,16,138
71,wallie1,void,3000,17,208
71,wallie1,void,3000,18,288
71,wallie1,void,3000,19,378
71,wallie1,void,3000,20,474
71,wallie1,void,3000,21,570
71,wallie1,void,3000,22,666
71,wallie1,void,3000,23,760
71,wallie1,void,3000,24,866
71,wallie1,void,3000,25,972
71,wallie1,void,3000,26,1081
71,wallie1,void,3000,27,1186
71,wallie1,void,3000,28,1283
71,wallie1,void,3000,29,1390
71,wallie1,void,3000,30,1487
71,wallie1,void,3000,31,1585
71,wallie1,void,3000,32,1680
71,wallie1,void,3000,33,1777
71,wallie1,void,3000,34,1860
71,wallie1,void,3000,35,1953
71,wallie1,void,3000,36,2034
71,wallie1,void,3000,37,2118
71,wallie1,void,3000,38,2196
71,wallie1,void,3000,39,2271
71,wallie1,void,3000,40,2343
71,wallie1,void,3000,41,2408
71,wallie1,void,3000,42,2475
71,wallie1,void,3000,43,2532
71,wallie1,void,3000,44,2587
71,wallie1,void,3000,45,2638
71,wallie1,void,3000,46,2688
71,wallie1,void,3000,47,2733
71,wallie1,void,3000,48,2772
71,wallie1,void,3000,49,2809
71,wallie1,void,3000,50,2842
71,wallie1,void,3000,51,2873
71,wallie1,void,3000,52,2899
71,wallie1,void,3000,53,2920
71,wallie1,void,3000,54,2940
71,wallie1,void,3000,55,2958
71,wallie1,void,3000,56,2970
71,wallie1,void,3000,57,2982
71,wallie1,void,3000,58,2990
71,wallie1,void,3000,59,2996
72,wallie1,void,3000,0,0
72,wallie1,void,3000,1,0
72,wallie1,void,3000,2,0
72,wallie1,void,3000,3,0
72,wallie1,void,3000,4,0
72,wallie1,void,3000,5,0
72,wallie1,void,3000,6,0
72,wallie1,void,3000,7,0
72,wallie1,void,3000,8,0
72,wallie1,void,3000,9,0
72,wallie1,void,3000,10,0
72,wallie1,void,3000,11,0
72,wallie1,void,3000,12,0
72,wallie1,void,3000,13,6
72,wallie1,void,3000,14,38
72,wallie1,void,3000,15,81
72,wallie1,void,3000,16,141
72,wallie1,void,3000,17,214
72,wallie1,void,3000,18,292
72,wallie1,void,3000,19,374
72,wallie1,void,3000,20,473
72,wallie1,void,3000,21,559
72,wallie1,void,3000,22,671
72,wallie1,void,3000,23,768
72,wallie1,void,3000,24,877
72,wallie1,void,3000,25,975
72,wallie1,void,3000,26,1079
72,wallie1,void,3000,27,1190
72,wallie1,void,3000,28,1292
72,wallie1,void,3000,29,1395
72,wallie1,void,3000,30,1492
72,wallie1,void,3000,31,1586
72,wallie1,void,3000,32,1684
72,wallie1,void,3000,33,1773
72,wallie1,void,3000,34,1866
72,wallie1,void,3000,35,1951
72,wallie1,void,3000,36,2033
72,wallie1,void,3000,37,2109
72,wallie1,void,3000,38,2185
72,wallie1,void,3000,39,2263
72,wallie1,void,3000,40,2330
72,wallie1,void,3000,41,2400
72,wallie1,void,3000,42,2464
72,wallie1,void,3000,43,2524
72,wallie1,void,3000,44,2583
72,wallie1,void,3000,45,2634
72,wallie1,void,3000,46,2683
72,wallie1,void,3000,47,2728
72,wallie1,void,3000,48,2766
72,wallie1,void,3000,49,2803
72,wallie1,void,3000,50,2838
72,wallie1,void,3000,51,2868
72,wallie1,void,3000,52,2896
72,wallie1,void,3000,53,2918
72,wallie1,void,3000,54,2937
72,wallie1,void,3000,55,2955
72,wallie1,void,3000,56,2969
72,wallie1,void,3000,57,2980
72,wallie1,void,3000,58,2989
72,wallie1,void,3000,59,2995
72,wallie1,void,3000,60,2998
73,wallie1,void,3000,0,0
73,wallie1,void,3000,1,0
73,wallie1,void,3000,2,0
73,wallie1,void,3000,3,0
73,wallie1,void,3000,4,0
73,wallie1,void,3000,5,0
73,wallie1,void,3000,6,0
73,wallie1,void,3000,7,0
73,wallie1,void,3000,8,0
73,wallie1,void,3000,9,0
73,wallie1,void,3000,10,0
73,wallie1,void,3000,11,0
73,wallie1,void,3000,12,0
73,wallie1,void,3000,13,8
73,wallie1,void,3000,14,36
73,wallie1,void,3000,15,80
73,wallie1,void,3000,16,139
73,wallie1,void,3000,17,210
73,wallie1,void,3000,18,293
73,wallie1,void,3000,19,373
73,wallie1,void,3000,20,461
73,wallie1,void,3000,21,554
73,wallie1,void,3000,22,653
73,wallie1,void,3000,23,759
73,wallie1,void,3000,24,859
73,wallie1,void,3000,25,957
73,wallie1,void,3000,26,1058
73,wallie1,void,3000,27,1160
73,wallie1,void,3000,28,1267
73,wallie1,void,3000,29,1372
73,wallie1,void,3000,30,1470
73,wallie1,void,3000,31,1568
73,wallie1,void,3000,32,1670
73,wallie1,void,3000,33,1760
73,wallie1,void,3000,34,1846
73,wallie1,void,3000,35,1931
73,wallie1,void,3000,36,2020
73,wallie1,void,3000,37,2101
73,wallie1,void,3000,38,2176
73,wallie1,void,3000,39,2248
73,wallie1,void,3000,40,2314
73,wallie1,void,3000,41,2385
73,wallie1,void,3000,42,2454
73,wallie1,void,3000,43,2512
73,wallie1,void,3000,44,2569
73,wallie1,void,3000,45,2624
73,wallie1,void,3000,46,2673
73,wallie1,void,3000,47,2718
73,wallie1,void,3000,48,2761
73,wallie1,void,3000,49,2800
73,wallie1,void,3000,50,2833
73,wallie1,void,3000,51,2864
73,wallie1,void,3000,52,2892
73,wallie1,void,3000,53,2914
73,wallie1,void,3000,54,2936
73,wallie1,void,3000,55,2953
73,wallie1,void,3000,56,2967
73,wallie1,void,3000,57,2978
73,wallie1,void,3000,58,2988
73,wallie1,void,3000,59,2993
73,wallie1,void,3000,60,2998
74,wallie1,void,3000,0,0
74,wallie1,void,3000,1,0
74,wallie1,void,3000,2,0
74,wallie1,void,3000,3,0
74,wallie1,void,3000,4,0
74,wallie1,void,3000,5,0
74,wallie1,void,3000,6,0
74,wallie1,void,3000,7,0
74,wallie1,void,3000,8,0
74,wallie1,void,3000,9,0
74,wallie1,void,3000,10,0
74,wallie1,void,3000,11,0
74,wallie1,void,3000,12,0
74,wallie1,void,3000,13,9
74,wallie1,void,3000,14,35
74,wallie1,void,3000,15,80
74,wallie1,void,3000,16,140
74,wallie1,void,3000,17,208
74,wallie1,void,3000,18,288
74,wallie1,void,3000,19,379
74,wallie1,void,3000,20,472
74,wallie1,void,3000,21,573
74,wallie1,void,3000,22,676
74,wallie1,void,3000,23,769
74,wallie1,void,3000,24,870
74,wallie1,void,3000,25,981
74,wallie1,void,3000,26,1090
74,wallie1,void,3000,27,1186
74,wallie1,void,3000,28,1291
74,wallie1,void,3000,29,1392
74,wallie1,void,3000,30,1499
74,wallie1,void,3000,31,1597
74,wallie1,void,3000,32,1686
74,wallie1,void,3000,33,1780
74,wallie1,void,3000,34,1872
74,wallie1,void,3000,35,1958
74,wallie1,void,3000,36,2042
74,wallie1,void,3000,37,2121
74,wallie1,void,3000,38,2195
74,wallie1,void,3000,39,2267
74,wallie1,void,3000,40,2337
74,wallie1,void,3000,41,2405
74,wallie1,void,3000,42,2470
74,wallie1,void,3000,43,2531
74,wallie1,void,3000,44,2586
74,wallie1,void,3000,45,2640
74,wallie1,void,3000,46,2687
74,wallie1,void,3000,47,2730
74,wallie1,void,3000,48,2772
74,wallie1,void,3000,49,2808
74,wallie1,void,3000,50,2841
74,wallie1,void,3000,51,2872
74,wallie1,void,3000,52,2899
74,wallie1,void,3000,53,2920
74,wallie1,void,3000,54,2940
74,wallie1,void,3000,55,2957
74,wallie1,void,3000,56,2971
74,wallie1,void,3000,57,2981
74,wallie1,void,3000,58,2990
74,wallie1,void,3000,59,2996
74,wallie1,void,3000,60,2999
75,wallie2,void,3000,0,0
75,wallie2,void,3000,1,0
75,wallie2,void,3000,2,0
75,wallie2,void,3000,3,0
75,wallie2,void,3000,4,0
75,wallie2,void,3000,5,0
75,wallie2,void,3000,6,0
75,wallie2,void,3000,7,0
75,wallie2,void,3000,8,0
75,wallie2,void,3000,9,0
75,wallie2,void,3000,10,0
75,wallie2,void,3000,11,0
75,wallie2,void,3000,12,0
75,wallie2,void,3000,13,4
75,wallie2,void,3000,14,22
75,wallie2,void,3000,15,58
75,wallie2,void,3000,16,108
75,wallie2,void,3000,17,172
75,wallie2,void,3000,18,246
75,wallie2,void,3000,19,330
75,wallie2,void,3000,20,416
75,wallie2,void,3000,21,511
75,wallie2,void,3000,22,605
75,wallie2,void,3000,23,707
75,wallie2,void,3000,24,810
75,wallie2,void,3000,25,906
75,wallie2,void,3000,26,1015
75,wallie2,void,3000,27,1117
75,wallie2,void,3000,28,1220
75,wallie2,void,3000,29,1321
75,wallie2,void,3000,30,1426
75,wallie2,void,3000,31,1517
75,wallie2,void,3000,32,1617
75,wallie2,void,3000,33,1713
75,wallie2,void,3000,34,1805
75,wallie2,void,3000,35,1896
75,wallie2,void,3000,36,1983
75,wallie2,void,3000,37,2064
75,wallie2,void,3000,38,2143
75,wallie2,void,3000,39,2215
75,wallie2,void,3000,40,2286
75,wallie2,void,3000,41,2358
75,wallie2,void,3000,42,2421
75,wallie2,void,3000,43,2481
75,wallie2,void,3000,44,2537
75,wallie2,void,3000,45,2593
75,wallie2,void,3000,46,2644
75,wallie2,void,3000,47,2690
75,wallie2,void,3000,48,2735
75,wallie2,void,3000,49,2776
75,wallie2,void,3000,50,2810
75,wallie2,void,3000,51,2845
75,wallie2,void,3000,52,2873
75,wallie2,void,3000,53,2898
75,wallie2,void,3000,54,2921
75,wallie2,void,3000,55,2940
75,wallie2,void,3000,56,2957
75,wallie2,void,3000,57,2970
75,wallie2,void,3000,58,2981
75,wallie2,void,3000,59,2990
75,wallie2,void,3000,60,2996
75,wallie2,void,3000,61,2998
76,wallie2,void,3000,0,0
76,wallie2,void,3000,1,0
76,wallie2,void,3000,2,0
76,wallie2,void,3000,3,0
76,wallie2,void,3000,4,0
76,wallie2,void,3000,5,0
76,wallie2,void,3000,6,0
76,wallie2,void,3000,7,0
76,wallie2,void,3000,8,0
76,wallie2,void,3000,9,0
76,wallie2,void,3000,10,0
76,wallie2,void,3000,11,0
76,wallie2,void,3000,12,0
76,wallie2,void,3000,13,4
76,wallie2,void,3000,14,23
76,wallie2,void,3000,15,55
76,wallie2,void,3000,16,105
76,wallie2,void,3000,17,165
76,wallie2,void,3000,18,232
76,wallie2,void,3000,19,315
76,wallie2,void,3000,20,400
76,wallie2,void,3000,21,493
76,wallie2,void,3000,22,592
76,wallie2,void,3000,23,692
76,wallie2,void,3000,24,794
76,wallie2,void,3000,25,900
76,wallie2,void,3000,26,1003
76,wallie2,void,3000,27,1103
76,wallie2,void,3000,28,1210
76,wallie2,void,3000,29,1313
76,wallie2,void,3000,30,1416
76,wallie2,void,3000,31,1512
76,wallie2,void,3000,32,1606
76,wallie2,void,3000,33,1707
76,wallie2,void,3000,34,1798
76,wallie2,void,3000,35,1894
76,wallie2,void,3000,36,1978
76,wallie2,void,3000,37,2058
76,wallie2,void,3000,38,2135
76,wallie2,void,3000,39,2212
76,wallie2,void,3000,40,2280
76,wallie2,void,3000,41,2346
76,wallie2,void,3000,42,2415
76,wallie2,void,3000,43,2479
76,wallie2,void,3000,44,2538
76,wallie2,void,3000,45,2593
76,wallie2,void,3000,46,2642
76,wallie2,void,3000,47,2690
76,wallie2,void,3000,48,2734
76,wallie2,void,3000,49,2775
76,wallie2,void,3000,50,2810
76,wallie2,void,3000,51,2844
76,wallie2,void,3000,52,2874
76,wallie2,void,3000,53,2898
76,wallie2,void,3000,54,2922
76,wallie2,void,3000,55,2940
76,wallie2,void,3000,56,2958
76,wallie2,void,3000,57,2970
76,wallie2,void,3000,58,2981
76,wallie2,void,3000,59,2989
76,wallie2,void,3000,60,2994
76,wallie2,void,3000,61,2998
77,wallie2,void,3000,0,0
77,wallie2,void,3000,1,0
77,wallie2,void,3000,2,0
77,wallie2,void,3000,3,0
77,wallie2,void,3000,4,0
77,wallie2,void,3000,5,0
77,wallie2,void,3000,6,0
77,wallie2,void,3000,7,0
77,wallie2,void,3000,8,0
77,wallie2,void,3000,9,0
77,wallie2,void,3000,10,0
77,wallie2,void,3000,11,0
77,wallie2,void,3000,12,0
77,wallie2,void,3000,13,4
77,wallie2,void,3000,14,20
77,wallie2,void,3000,15,56
77,wallie2,void,3000,16,102
77,wallie2,void,3000,17,163
77,wallie2,void,3000,18,235
77,wallie2,void,3000,19,320
77,wallie2,void,3000,20,406
77,wallie2,void,3000,21,498
77,wallie2,void,3000,22,593
77,wallie2,void,3000,23,691
77,wallie2,void,3000,24,790
